,Sentence
47,pilot for flight  did not show until after departure :watch: amp now there is a broken computer next time flying flight 
48,passengers sitting on plane for two hours flight from cme _exclamation_ _exclamation_ _exclamation_ all other flights have left 
49,good morning sylvie _exclamation_ have a great flight _exclamation_ it thank you 
50,just go ahead and start the scavenger hunt after  am today when work is over 
51,your costumer service today in the providence airport was sucked recommend your airline learn to check the weather and be honest 
52,beyond frustrated with no call back from auto hold or whatever you call it entered my number at 11:30 cut still no call 2:26 
53,got it thanks the quick reply 
54,trying to speak with an agent about my flight to london tonight but can not get anyone from a can you help _questionmark_  
55,what robot is running this account the same one that doesn i remember anything they ask same conversation over and over 
56,here you go 
57,roc flight cancelled lighted love my snowy drive home with no useful substitutes 
58,felt  grow could have extended the courtesy of waiting min   of us gates closed in i faces ur fired 
59,spend  hour on hold with 
60,could i get a free flight to vegas since it is my bday:smirking_face: :smiling_face: 
61,thank you for listening to my compliant and doing the right thing i appreciate you working with me 
62,thank you for your help shannon _exclamation_ great customer service 
63,change made in just over  hours for something that should have taken seconds online i am not thrilled loved the agent though 
64,our flight out no to now our flight back not seated together be  maybe our fault still no fun 
65,why would i pay  to reactivate my points that are only useful for certain flights that are not even worth  _questionmark_  
66,thanks home to my tsa recheck agents directing people after photo until scan beyond rude one grabbed and pushed children 
67,thanks for the do rescheduling unfortunately your operations process at lax is chaos amp the reps refused to print the ticket 
68,our fleet is on fleek :smiling_face_with_sunglasses: 
69,yes and the auto rebook confirmed an outbound that departs after the return flight fire the software programmers 
70,i have a voucher from a past trip that was delayed i thought i had to talk to someone on the phone to use it is that not true _questionmark_  
71,i was just sitting here talking at a tech conference about how awesome you guys are and this rolled across luv you guys _exclamation_  
72,so we got her home now we just need her bag is there a direct desk number for savannah _questionmark_  
73,yes it says it should be deliver within  hours after pick up line 
74,thanks for the reply to clarify the airfare is similar to your likely intended peer group the  beer charge however is not 
75,flight  tomorrow 5:15 am status please thanks 
76,telling a man theres no flights for the next  his _exclamation_ _exclamation_ _exclamation_ no standby _exclamation_ nothing _exclamation_ no options _exclamation_ trying to get to sick child _exclamation_  
77,will do thanks _exclamation_  
78,i clear that folder regularly and jetblue is white listed so it never got to me 
79,lets hope it stays that way big thanks to your ground outside crews all across the us the last month great fu post yesterday 
80,thanks just got on a couple of minutes ago great service on flight  bow please pass it to the team on that flight 
81,to start weekly  flights from to on between may sep 
82,when will i hear _questionmark_ guitar was damaged in december i use my guitar to earn a living get your act together _exclamation_  
83,got an email confirmation of wifi purchase on a recent flight trouble is i have never flown with you ever 
84,not given option for new flight _exclamation_ why can not we get a plane pal mia _questionmark_ years as an this is worst travel experience ever 
85,when should i expect a response from customer relations 
86,thanks so much _exclamation_ _exclamation_ :red_heart: :sparkles: very relaxing flight _exclamation_  
87,weather delays are not your fault today but getting to hotel with two soaked suitcases and no dry clothes stinks frustrated 
88,tell me something i don i know not 
89,flight is awful only one lavatory functioning and people lining up bumping etc because can not use est class bathroom ridiculous 
90,just a very rude rep while trying to book family vacation using trol credit on phone i new rep now who is being very helpful 
91,hello _exclamation_ my husband bought us a trip last night amp just noticed my last name is misspelled _exclamation_ what can i do _questionmark_ thanks _exclamation_  
92,we are bringing  guitars can we bring them as carry on _questionmark_  
93,fyi your customer service rep carol is an absolute delight so pleasant to with with and rebooked me in lightning speed _exclamation_ thanks _exclamation_  
94,you have the best flight attendant ever _exclamation_ _exclamation_ _exclamation_  
95,: i was told my ticket expired but i never read any notice before it expired this sucks i paid ask miles amp  for the that 
96,is it policy to tell customers we can not help you _questionmark_ i am sorry but this is unacceptable 
97,wait times of  hours to talk with an exec put agent what is going on _exclamation_ _exclamation_ _exclamation_  
98,flight  been sitting gate  for  min i door open since we arrived still no jet bridge can someone help _questionmark_  
99,boarding passes now compatible with 
100,and they are telling me i got to get another hotel and food so spend more money because you guys made me miss my connection 
101,fyi your staff are telling customers to try other carriers 
102,thank you for taking good care of people with als _exclamation_  
103,is rude a hiring requirement at key west airport shaking my head 
104,i am glad this airline is going to be swallowed by american _exclamation_ _exclamation_ _exclamation_ american always picks up the phone and solves problems 
105,something to think about when you are dealing with people _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ just wrong no excuses figure it out amp expect the unexpected 
106,your eri ord express connections are hugely popular now if only we could have an eri ear hop _exclamation_ : 
107,made it _exclamation_ thanks a _exclamation_  
108,if sea curfew causes diversion do you provide transportation from lax _questionmark_ on  now pilot not sure if we have time 
109,hi you lost my father i wheelchair every time we call we just get voicemail my dad needs it to go home please do me 
110,flight  out of vegas to dew cancelled lighted sunday and monday no whammied today _exclamation_  
111,landed in nashville _exclamation_ thanks for taking care of us _exclamation_  
112,of was on hold for  hours and call was dropped _exclamation_ _exclamation_ _exclamation_ help _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ need a flight _exclamation_ _exclamation_ _exclamation_  
113,i was sincerely thanking the pilot of flight  of braving the snow and getting me home amongst many other cancelled flightlations 
114,flight  was great fantastic cabin crew a landing 
115,to start weekly flights from to on apr 
116,please hold  _exclamation_ i can see it just can not get off my first plane quick enough 
117,you guys rule i will do you it  thank you 
118,it is absolute madness in the west but tell me who you like between and 
119,is that the flight for tomorrow _questionmark_  
120,i am great thanks keep up the good work 
121,i did not have time to take my wet clothes suit back to the airport and wasn i going to pay for another cab to do so 
122,could you tell me if any upgrades are available on a flight out of sol tomorrow morning 
123,oh i did was still lost your tracking system stinks as does the delivery system 
124,trying to change flight via dew tomorrow can not get thru on phone long wait then cut off xu can you help please _questionmark_  
125,thanks _exclamation_  
126,never flying again horrible experience terrible customer service 
127,i just think it is weird to have mileage as  
128,so that is it _questionmark_ it just ends there _questionmark_ come on _exclamation_ i traveled for literally an extra day and a half because of this _exclamation_  
129,despite the inconvenience the situation was handled quickly and we appreciate it very much _exclamation_  
130,if ur going  charge  for wi fi make sure it works i a  by the time things load 
131,never fails to disappoint 
132,and yet the flight attendant argued with me over exec plat benefits 
133,nope i gave up maybe they all deliver it 
134,that is not good enough for all of us affected by the awful organization and timing and have now been set back 
135,you can read the full story when i submit a case to your team about the pilot of flight  and why we are sleeping in dia 
136,sitting on plane in columbus supposed to leave an hour ago now the mechanic can not find a tool to service the shock absorber 
137,thanks for sending my kid to the concert vegas so awesome _exclamation_  
138,yep sent my bag to philadelphia instead of miami i caught it then was told my flight changed to tomorrow wrong again 
139,that for  consecutive days i can not get through to a person on hold over  hours and still going 
140,well i am glad i got up at  am so i can sit in an airport no place else i i rather be not 
141,yes they did must have fixed the broken ramp thanks _exclamation_  
142,okay  find our luggage 
143,marks with birthday with painted in humanity paint job 
144,that makes two of us _exclamation_ lol 
145,been on hold for  minutes is there a better time to call _questionmark_ this is getting ridiculous 
146,yes but the manner with which it was done was harsh for those affected already checked in no remorse weak alternatives 
147,dropped ex in past hour 
148,thanks up what i going on i  tonight bad update online and phone can not u give customers good info not waste their time _questionmark_ _exclamation_  
149,hates guitar players chad for oversize and extra bag on my acoustic guitar epic fail 
150,i need some help with a reservation 
151,save mile to visit family in  and this will impact how many times i can see my mother i planned and you change the rules 
152,i have tried its anyway 
153,my flight got cancelled lighted from ark to dew then to lex for tomorrow and i need it rebooked 
154,i have never been mor e disappointed in a company charging  to use your wifi which only works for about  apps pathetic 
155,dear swa i fly you a lot most of the time amazing today: unacceptable i am sitting here in midway delayed  min 
156,more people stranded cause you suck better yet you weasel out of flight booking problems rooms for people claiming weather 
157,this day has been a disaster rude employees no help amp now no hotel not flying with you again amp i fly alot _exclamation_ dallas raise now _exclamation_  
158,our fleet is on fleek let is keep it professional 
159,flight ua is taking off now after  was delayed over  his  passengers to miss their flight to tel aviv 
160,since bulkhead seats cannot have bags on floor why don i u reserve o head space above those seats _questionmark_ in ab on  not impressed 
161,i finally spoke to a person despite the mind boggling wait time the rep was very pleasant and very helpful kudos to her 
162,have since dropped to  layovers but still not acceptable 
163,hi _exclamation_ is it possible to upgrade to a mint seat on an already booked ticket _questionmark_ thanks _exclamation_  
164,sent looking for that functionality in your app though should be a one click action 
165,need help with a flight weather funeral tough combination on hold for over an hour please _questionmark_  
166,thanks _exclamation_ calling right now _exclamation_  
167,not sure why i would bother when the agent at the airport didnt help amp nobody on phone would ticket cancelled lighted for no reason 
168,to be clear on my luggage comment i am referencing the photo attached flight  to jam 
169,damn weather messing up everything 
170,no wifi on this flight so we can not tweet you our oscar party pics at   : sea:airplane:bos 
171,hey stair a very tortured boarding on flight  due to one gate agent having to board assisted folks one at a time 
172,would love to win tickets and take my son to imagine dragons in provo saturday night crossed fingers 
173,i don i think the us site allows that unlike can i use a us credit if i held on 
174,the to wifi was spotty it is just a nice feature for a i country flight still won i keep us away 
175,i need an answer why we can not get into wichita falls 
176,: it our fleet is on fleek 
177,that is ok _exclamation_ it just sure seemed like it when jetblue tweeted us back and asked us to send selfies of us watching haha 
178, i was on  today to xyz i had a bit of a bag issue that was cleared up beautifully thank you to all of the check in 
179, the lavatory freezes  problem with a nitrogen line  a low tire with the inflating equipment malfunctioning and 
180,leave us stranded send baggage with important medication to different city for days amp apologise with a  voucher appalling 
181,baggage delivery at wi very delayed and unnecessarily chaotic disappointing after a long trip _exclamation_ from a frequent traveler 
182,can you help me add my kin to this reservation ply _questionmark_  
183,to top it all off your flight attendants talked loudly throug the flight even when the lights were dimmed resulting in no sleep 
184,thanks but i had to hire a car in chicago and drive to me does that mean i have to go to the airport _questionmark_ _questionmark_  
185,we are going to the police dept due to the sexual assult that your stewardess allowed to occur and your lack of concern 
186,i still think american airlines is great i would just like to be treated better loyal customers first right _questionmark_  
187,if an award is no longer showing available could it possible become available again _questionmark_  
188,had a different fiasco on my outward trip and was rebooked on to qantas lax syd no of miles show up in my account for that : 
189,could you update me on the suitcase please _questionmark_ the online and phone tracking told me nothing i was told i i have it back yesterday _exclamation_  
190,today the staff map took customer service to a new level my father passed away last night amp you helped me get home today _exclamation_ thanks 
191,i did amp was told i asked to many questions bag might still be on flight  should be easy to check when it lands in seattle 
192,tickets were confirmed and sent out find out today that they cancelled lighted our tickets months ago and never sent an email 
193,so far so good just stepped down in denver next stop portland _exclamation_  
194,been on hold for over an hour any chance someone can help me on here _questionmark_  
195,blackmailed me into paying  extra or having my return ticket nullified in san francisco airport terrible service from rep 
196,was told at up my bags would  be at my house by up well they re not and i continue to be lied to 
197,my baggage is in shannon now so never mind u can work on giving me some back now 
198,flight  departed phoenix at 1:30 am 
199,sorry you were disappointed have kids and jobs 
200,when my united flight arrives late flight and i am told to re book my connecting united flight you characterize that as a no show 
201,how nice it would be if you had helpful flight attendants instead of the rude nasty ones you employ 
202,it was delivered _exclamation_ thank you for making sure it arrived at my doorstep _exclamation_  
203,we want room and food allowances agents are refusing to give us vouchers to use at rooms we book ourselves 
204,i am at 4:05 will be nasty in boston have family driving  min to pick me up from erie think flight what if cancelled lighted _questionmark_  
205,why was flight  ear to mo cancelled lighted for tomorrow and what do i do to rebook asking for a relative 
206,fyi i am onboard comfortably travelling to jak seat was no problem as you said thanks for making flying more civilized _exclamation_  
207,i just spoke to the baggage claim center and they gave me travel credit but will not be responsible for the cost of a 
208,this is ridiculous _exclamation_ you all really have terrible customer service and a lack of urgency im convinced 
209,am austin to jak 
210,i did it took about an hour and a half though 
211,fuck you and your closed premier access lines at ord probably gonna miss my flight start treating your customers better 
212,been on hold for  minutes and counting for a month old change fee refund request for a funeral this is pathetic 
213,nope i have not been rebooked 
214,current hold time after speaking to rep to have tix reissued is  mins why so long amp why not make this option available online _questionmark_  
215,again no special meal catered for me in i jak lax thankfully i am on qantas the rest of way i fear what youd not cater on that 
216,the for confirming _exclamation_ again yr team is awesome thanks for the prompt amp helpful response _exclamation_ cheers to less snow in everyone i future 
217,ask your new colleagues how they handled us  on  feb i expect to be made whole again check complaint inbox 
218,would be cool if the best airlines company hooked me up with tickets for vegas 
219,nothing you can do to help us restore some barely expired points _questionmark_  
220,thanks so much for the awesome support you guys rock _exclamation_  
221,flight cancelled lighted tonight and was told i won i receive a travel voucher for the inconvenience is that really your policy _questionmark_  
222,thank you 
223,can you please help _questionmark_ you ve now rebooked me incorrectly after flight was cancelled lighted please fix my felt to tuesday _exclamation_ _exclamation_  
224,tough choices but i did all simultaneously _exclamation_ as a business traveler best experience in a long time 
225,not anymore 
226,i did hear a last call for boarding of this flight when i was at jak a few hours ago good luck i flights _exclamation_  
227,ive had on an airline everyone else has been great but she soured the whole experience for me hope she is not there next time 
228,trying to get through to cust relations is there another to use _questionmark_  
229,my birthday is during and im a huge fan anyway i can get tickets _questionmark_  
230,that is incorrect four people last flight of the night with our bags 
231,i have been trying to speak with an agent the whole day about my cancelled lighted flight what i can do _questionmark_  
232,all these planes sitting here and no one going home 
233, delayed out of because the plane was frozen will i make my connection on  _questionmark_  
234,there is no reference number your agent told me to just drive to the airport because i can not reach anyone there to deliver 
235,had to pay a  fare difference on a change but can not seem to find the receipt for it how can i get a copy for reimbursement 
236,here you go your napkins pretty much say it all _exclamation_  
237,no i asked either way it doesn i make the flight less delayed 
238,last sleep in cali back to jak tomorrow night looking forward to an another amazing flight with you all : 
239, minutes still haven i talked to one person phone is gonna died before i talk to anyone 
240,i appreciate you looking can you compensate me on anything for my troubles _questionmark_ still haven i taken off for a 10:30 am flight 
241,would you say a delay is more likely _questionmark_ thanks so much 
242,you don i care about keeping your customers safe or at least you did not care about my sister 
243,more than an hour holding to change a flight on the phone now what i up with that _questionmark_  
244,thanks for getting us on ur plane awesome flight attendant who is making us smile after difficult travel 
245,i just sent a do 
246,you down with rip _questionmark_ yeah you know me _exclamation_  
247,it is been over  hours at what point do you let people off of the plane _questionmark_  
248,you might be the only airline not offering waivers keep up the good fight 
249,finally starting to come out  minutes and no communication is not acceptable letting me down today 
250,flight  is 2:30 his delayed so far i i of late flight crew now we are literally waiting while they have dinner acc to honest gate agent 
251,been waiting for  minutes on hold because yall cancelled lighted my return flight answer the phone _exclamation_ _exclamation_ _exclamation_  
252,that is unacceptable 
253,you really need some customer service training for your unhappy ees in the morning in chicago gate kid at  choking her scud 
254,i booked tickets using miles and need to change the dates have been trying to get to an advantage rep  two days 
255,do sent _exclamation_ thanks so much for responding _exclamation_ your response was so timely i missed it _exclamation_  
256,yes he i in the next flight 
257,luv my companion pass _exclamation_  
258,what i up with the wait times on your customer service line _questionmark_ tried ex on fri and now i have been on for over  min 
259,rudestaff incompetentmanagers 
260,you are lucky to have people like annamarie and norris at wi i hope they get recognized for excellent cust service 
261, hours late flight and i lost my connection :pouting_face: 
262,thank you your fare to from dew to dna was much lower than and thank you _exclamation_ you won me over _exclamation_  
263,whats up with flight  it myers to milwaukee _questionmark_  
264,wrote back saying it i been a challenging week that i for sure no shit 
265,can you put russell dauber on same ticket as well into premium eco _questionmark_ appreciated _exclamation_  
266,thanks for getting us to ny jak really safely : but truly _questionmark_ how long does it take to get our checked bags _questionmark_  
267,thanks for cancelled fighting my flight tomorrow and not relight booking problems me on another one 
268,you can not change my flights and not have enough operators to handle calls 
269,and that it would be sent on the next flight to hayden steamboat hen from denver so i am hoping its on there 
270,can you update me on the emergency landing in jacksonville right now _questionmark_  
271,try harder take a winners attitude to your work 
272,really know how to leave someone stranded after a funeral props to you guys really making this the perfect monday 
273,got call saying flight cancelled lighted but checked online and it isn i cancelled lighted no where near bad weather i have job interview 
274,thank you very much for the help we are do i pick up my bags aspen airport amp are they coming in today on  
275,you have such a confusing web site complicated ordering process this is why i typically fly 
276,but virgin has wifi :eyes: 
277,roundtrip tickets to no are dramatically cheaper through virgin pretty pricey via united can you match them _questionmark_  
278,was on hold for  hours before you disconnected me after my flight was cancelled lighted swell company you 
279,united club team is a amp got me a seat late flight still not sure why a last min ual cancelled flightlation costs me yet overbooked folks get 
280,what about flight  _questionmark_  
281,should use this in their next airline commercial lol : : 
282,with a glass of wine once we hit altitude _questionmark_  
283,q: just purchased ticket to for trip in late flight march does this mean we will acquire miles based on price or distance flown _questionmark_  
284,i am aware of the flight details thanks three hours late flight a crew that could not give less of a shit 
285,trying to talk  customer service to add lap child and can not get a hold of anybody i need help _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_  
286,have the most rude unreliable horrible company with equally rude unreliable and horrible employees stay tuned 
287,bar trained gate acts im a frequent flyer amp have nor had issue i my bag day i was forced  gate check while priority boarding 
288,did not let me get on the ah hel direct now weather delay for my so leg stop being reactive and be proactive _exclamation_  
289,nope no more chances your airline messed up both ways of our trip 
290,poor customer service displayed over the weekend during the storm i was stuck on the tarmac for   hours with no answer _exclamation_  
291,thank you so much that helps a ton whoever is on this twitter act today deserves a handshake and a hot chocolate flight 
292,looks like our bag has been rescued thanks _exclamation_  
293,how do i go on the scavenger hunt if i am in boston _questionmark_  
294,are you out of your mind a _questionmark_ what is the point of this twitter act _questionmark_ form letters in  characters or less _questionmark_  
295,one by one 
296,both flights went great and improved my view of your airline cheers _exclamation_ flight attendants on  deserve a raise 
297,airways receives new coverage from analysts at bank of america blu the legacy 
298,what is the reason for the delay 
299,your main delay left us stuck in den _exclamation_ _exclamation_ flight  been on plane for  his stop flying broke french planes _exclamation_  
300,it is painful being on hold to you _exclamation_ _exclamation_ really  minutes to change a flight _exclamation_ _exclamation_  
301,can't access your website from safari on iphone  seems to work on mac and ipad need iphone to add passbook 
302,had a great flight to and from cabo last week with my family 
303,i believe it is irina on the flip side super disappointed that eatur cafe isn i available on this bos it so flight today 
304,bummer but thank you for the quick response 
305,it isnt simple issue generally how you set up check in baggage policies at logan and general helpfulness of employees in early am 
306,thanks _exclamation_ just died in 
307,your pple did a great job i the madness however some of your systems need help i appreciate the hard work amp the push to i better 
308,can you please help to save my daughters life for details go here 
309,only i  upgrade unsure why she can not just switch someone around i called  his in advance for this reason 
310,can you increase the legroom _questionmark_ : how airlines compare via 
311,thanks up please also mention the quiche breakfast and tandoori chicken dinner entrees and accompaniments are truly first class 
312,thanks for listening _exclamation_ i definitely was not the only person in line who thought it was absurd 
313,how about you give us a number to call instead of the empty email since you are not working on it 
314,what i going on at i have been sitting at the gate for minutes 
315,list pref doesn i do any good if direct to atl is always wifeless flight  
316,thanks 
317,my flight  to denver for has been re scheduled  times if i am no show you all know why _exclamation_ ridiculous 
318,just got interrogated at the united club chicago 
319,direct messages not going through please help 
320,no i missed the funeral so i had to take a train back to newark 
321,thanks for seating me next to  hot athletes this flight is significantly better now _exclamation_  
322,so if your genuine give me your opinion on what occurred last night  fly from pal to mia no assistance at airport 
323,bow is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation _questionmark_  
324,yes the _exclamation_ at 10:35 landed at 9:20 
325,clients got zero in  years career never thought this was possible  suitcases worth thousands of in italian clothing robbed 
326,i am on vacation this is the last thing i want to be doing is anyone even answering the phone _questionmark_  
327,i guess from now on i should take my chances amp keep the  for the courtesy free because it seems cabin is always full 
328,you rock for making it so i can watch on my flight _exclamation_ _exclamation_  
329,customers are not dumb these revenue based programs will hurt everyone not gonna save money like you think 
330,not only did you cancelled flight our flight from jak and delay us by  hours you ve now lost  of our bags worst airline ever 
331,ok i just received an email with my registration from your team thanks a lot 
332,boeing  star alliance short finals all on an amazing winters morning 
333,same 
334,big thanks to is winston for assisting me over the phone with a baggage claim issue today she really went the extra mile _exclamation_  
335,i ceo kelly draws record crowd to business partnership breakfast 
336,thanks _exclamation_ any idea when it will be resolved _questionmark_ i i like to purchase my ticket _exclamation_  
337,not sure why we are being made to stand in line outside for plane that isn i ready to board when i could be sitting inside 
338,shoutout to the agent on duty now gate be outstanding customer service i delayed felt  
339,ill call in the morning too upset right now 
340,did i mention that i was on the plane so is my luggage my luggage that i am not going to have for how many days 
341,mission accomplished: gave a hug 
342,the pilot just stated that after  years of flying he has never experienced anything like this 
343,that is the one my original arrival time was 10:14am after all said and done i may be there by 9:19pm central not impressed 
344,your website is fucked up now instead of a  flight i should've had yesterday it's  today thanks 
345,thank you so much how will you be able to contact me _questionmark_  
346,are you having any issues with online check in _questionmark_ my colleague and i are getting webpage not available after submitting online form 
347,our fleet is on fleek oh word _exclamation_ _exclamation_ _exclamation_ _exclamation_ _questionmark_  
348,your male flight attendants must being playing a game called who can be the bigger dick to people flight  to chi mid 
349,called your service line and was hung up on this is awesome 
350,haha _exclamation_ our fleet is on fleek 
351,us too _exclamation_ terrible airline _exclamation_ just gave us a hotel hotline number and said sorry 
352,great to hear thankyou so much greatly appreciate your replies feel much more settled now 
353,is there any estimate on when the holding for you online will end _questionmark_ i am at an hour and forty minutes now i need to rebook _exclamation_ _exclamation_ _exclamation_  
354,your chat support is not working on your site: 
355,then send your jeff smile on a trip with jetblue or so and make sure he takes notes i would never choose to fly united again 
356,will do maybe the pre purchase meal email is because the flight is  min short of  hours so i guess there are none offered 
357,your service need work check out this bush airport customer service line last it 
358,thank you for always going above and beyond with your customer service _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_ _exclamation_  
359,you cancelled lighted my wife i flight and she has to call but your service won i even let us going on  hours now 
360,the chairs could use some tac and more power outlets in the area would be a bonus headed to 
361,hours on the phone hung up on all i want is to be on a different flight same day that has an open seat 
362,jason you all end up missing your connection please see our dew agents for assistance i nope _exclamation_ hasn i taken off yet still _exclamation_  
363,sitting for  minutes on the runway at dna because your gates are full _questionmark_ early landing late flight flight 
364,who is he i must send a note _exclamation_ _exclamation_ _exclamation_ too good for words _exclamation_  
365,will flights be leaving dallas for la on february with _questionmark_  
366,thanks for following up i think it is fair to refund the ticket price and the two one way rental cars i had to buy 
367,landed at 9:40pm and have been standing waiting for bags that were loaded plane side why isn i the crew here tiredcustomer 
368,forgot to call in the copilot so we are stuck on the plane in pal looking fed to being stranded in cut day  of flight fails 
369,if you care could you have someone call me to explain what is going on 
370,aww is it _questionmark_ i guess now i need to book a flight to somewhere warm asap _exclamation_ any suggestions _questionmark_  
371,thank you i may have already responded but was  
372,the child is two years old 
373,i have tried getting help from agents the phone twitter and fu can no one at american airlines help me _questionmark_  
374,here for you as in yeah we all tweet platitudes at you so you all think our twitter bot cares _questionmark_ or 
375,my flight was cancelled lighted monday just looking to cancelled flight and credit my card that is all 
376,i suppose your customers enjoy screaming toddlers then not my problem if someone complains _exclamation_  
377,we are boarding now but have yet to depart thanks for the response 
378,does anyone know the hold times for airways reservations _questionmark_  
379,just passed the  hour mark you for this call gave up after   this morning 
380,just tried calling got a high call volume at this moment message and then it said goodbye and hung up 
381,no worries i think it's under control the emails are keeping me informed 
382, empty seats open in est on  no upgrades for a u i gold member _questionmark_ would love consistent policies 
383,thank you for the worst experience ever on an airline from me to you i hope your embarrassed as an airline pathetic 
384,hilarious flight attendants on vegas to detroit tonight 
385,pure anarchy on flight  to sly people walking in with nothing packed in bags with arms full of stuff 
386,the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air 
387,stressed and rude agents overwhelmed by dead flight las den  yelling at several people not pretty this is 
388,my seat is disgusting old and dirty when are you going to refurbish this plane _questionmark_ us air  jak to pox 
389,hey you ve upgraded me on a  hour international flight i forgive you : thank you _exclamation_  
390,yeah i am aware of that hence my original mug to you 
391,doesn i have to be same flight  and  will work also 
392,sure  am scheduled to leave this weekend but need to push to october 
393,thanks so much _exclamation_  
394,thank you for your help today i have been a loyal us airways customer and i appreciate your responding to my tweets 
395,i met my twitter friend waiting outside the troubadour 
396,flight to nashville was cancelled lighted how do we another flight _questionmark_ i have been trying to call amp cannot get a human 
397,how can i get travel question answered quickly online and calling not helping with this busy day 
398,your customer service has a recording that says we are to busy to assist and hangs up great touch 
399,subscribe please 
400,your baggage system has hung up on me twice because you have too many callers i need to find my husband i bags 
401,she could not access seat map so she said she would note the upgrade in my itinerary and to call back late flight 
402,that is still one day over my visa expiring on june  which is why i booked my flight on that day 
403,i love the dancing little richard cool beans 
404,thanks for the info but have been trying for over  and no luck flight dep today need  change  tomorrow or thursday 
405,you all be hearing from me for sure 
406,lost luggage on flight yesterday morning to no response and no luggage more than  his lor 
407,it is not allowing me to book available seats 
408,lost my wife i luggage and nobody gives you and answer all they say is go here or call there 
409,i am dumping this dividend miles card and forgetting your airline exists 
410,how about a phone to talk to a real person _questionmark_  
411,what are the chances of actually flying out of charleston today _questionmark_ cold rainy weather in the south of all places 
412,holy fucking shit 
413,got my bags  hours late flight and an offer of  to go pick them up taxi costs  one way spent  for the inconvenience 
414,are you going to be giving travel agent rates to those who hold an data card 
